229459.10938,,,,,,,,,,,,,,
322023.78125,197083.42188,361127.25000,290144.00000,188398.31250,197291.03125,127967.06250,133293.17188,71271.34375,,,,,,
,,,,259976.26563,208000.65625,371422.71875,292720.96875,189610.48438,,,218359.60938,214961.34375,254355.31250,186283.68750
,83133.43750,150545.96875,63193.51563,52744.64844,112295.71875,87519.14844,59090.13672,120183.09375,,,127737.10156,117650.22656,146228.01563,192388.59375
262537.81250,232292.12500,226312.89063,177283.68750,100453.99219,28618.65625,115880.47656,512681.65625,190958.25000,,,158731.42188,73757.36719,148188.79688,202057.89063
,,,,,,,,,,,236887.23438,281062.78125,261797.73438,252719.34375
,,,,,,,153043.65625,154867.46875,,,231212.03125,156498.56250,165025.76563,172010.40625
262103.51563,287918.75000,216743.40625,279385.28125,462918.46875,279322.68750,340457.87500,486838.56250,405366.59375,,,389726.09375,272268.90625,300680.87500,387760.84375
,,,,,,,,,,,69781.60938,54630.05859,54699.23438,56610.33594
158524.92188,238621.56250,172956.40625,153900.60938,133837.71875,177739.40625,196770.54688,154628.84375,212668.00000,,,191078.46875,152031.03125,209219.98438,195874.84375
,,,,,85810.42188,192901.00000,169174.14063,167080.62500,,,160647.23438,232506.67188,160683.23438,159495.14063
304709.25000,233645.62500,387381.96875,331621.03125,259711.85938,421782.37500,477855.43750,438092.65625,368346.06250,,,482807.71875,310949.15625,372749.50000,336019.68750
186473.68750,163610.09375,313827.90625,210735.07813,339219.81250,277606.09375,160290.96875,371322.50000,271210.25000,,,310808.31250,360517.81250,255492.10938,363185.00000
277961.87500,,,,,,,,,,,,,,
,,,,,,,,,,,352959.59375,330540.87500,179209.81250,221194.35938
,,,,,,,,,,,174297.29688,172721.35938,217247.71875,269802.75000
,,,,,,,,,,,322545.06250,220243.56250,190832.45313,251541.85938
238471.18750,206900.26563,211312.65625,331570.43750,284134.31250,,,,,,,,,,
,,,,,,,,,,,288755.53125,173766.18750,140424.40625,165581.78125
,,,,,156737.98438,216709.29688,257675.04688,253933.09375,,,416988.15625,352744.90625,285298.34375,239017.40625
258219.18750,399442.18750,268996.28125,227728.59375,295421.37500,307624.96875,245350.32813,246822.73438,303330.90625,,,253517.87500,229405.71875,249452.76563,213741.15625
317265.65625,369298.21875,210942.57813,340527.03125,340398.12500,321960.21875,305915.84375,276997.56250,416498.50000,,,521037.37500,399388.46875,166771.79688,460880.25000
,,,,,,,,34524.60547,,,,,,
,,,,111427.98438,156387.26563,,,,,,,,,
148457.68750,173322.96875,152111.81250,166356.40625,171670.03125,271901.21875,215050.95313,193514.01563,361661.09375,,,,,,
,,,,,,,,201735.39063,,,169451.87500,161670.20313,240103.06250,170897.87500
32093.98242,170683.68750,257588.79688,282563.50000,240319.76563,288524.56250,259184.84375,229287.82813,187401.98438,,,189615.71875,110976.63281,194539.87500,82822.75781
340955.96875,455271.12500,309278.18750,632219.37500,271961.37500,226407.43750,347539.84375,208554.03125,134694.59375,,,113599.37500,115121.76563,160260.85938,83563.30469
